56,theWSHlobbyist,10.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,4.0,5.0,4.0,9.0,6.0,3.0,6.0,4.0,3.0,6.0,5.0,4.0,4.0,"washington, event, restaurant, chef, hotel, menu, national, beer, wine, hosted, craft, highlights, year, cocktails, june, community, room, guests, week, restaurants"
57,Organized Khaos1,6.0,9.0,13.0,11.0,1.0,2.0,4.0,3.0,5.0,1.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,6.0,3.0,4.0,7.0,"chaotic, hair, makeup, crew, comment, socials, look, diwali, back, mask, today, share, tutorial, skin, store, products, leave, clay, foundation, quick"
58,Michal Naidoo,5.0,9.0,12.0,11.0,2.0,2.0,3.0,4.0,4.0,1.0,3.0,10.0,5.0,3.0,2.0,2.0,3.0,6.0,3.0,3.0,5.0,"twitter, blog, guys, also, forget, chal, would, comment, free, thumbs, info, give, feel, collaborations, mail, hair, products, html, silver, pandora"
59,Real Men Real Style,11.0,15.0,3.0,5.0,6.0,3.0,2.0,3.0,6.0,1.0,3.0,4.0,6.0,2.0,3.0,3.0,4.0,6.0,2.0,5.0,7.0,"style, recommended, real, free, want, products, contact, list, tools, equipment, download, dress, know, shoes, watches, confidence, place, fragrances, personal, productivity"
60,Antje-Gesine Marsch,9.0,5.0,15.0,7.0,0.0,1.0,0.0,4.0,3.0,2.0,10.0,10.0,11.0,2.0,6.0,2.0,0.0,3.0,6.0,1.0,4.0,"gegen, rotation, sich, jena, motor, auch, bundesliga, eine, nach, nicht, aber, ringer, sieg, zwei, ende, drei, dass, dost, einen, vier"
61,Arpita Ghoshal,7.0,4.0,16.0,7.0,1.0,2.0,4.0,6.0,3.0,1.0,4.0,6.0,6.0,3.0,2.0,3.0,5.0,7.0,3.0,3.0,7.0,"page, link, products, content, make, without, permission, videos, matte, beauty, professional, makeup, skincare, lipstick, pixie, sent, contact, test, purchased, want"
62,My Pretty World,5.0,7.0,9.0,7.0,1.0,2.0,2.0,3.0,4.0,2.0,3.0,5.0,4.0,3.0,3.0,1.0,4.0,7.0,2.0,15.0,11.0,"thank, check, videos, comment, family, friends, princess, share, make, sure, thumbs, also, watching, marilyn, supporters, business, inquiries, media, social, think"
65,Linus Tech Tips,3.0,2.0,3.0,3.0,1.0,2.0,5.0,5.0,2.0,1.0,8.0,10.0,20.0,3.0,4.0,2.0,4.0,6.0,5.0,2.0,7.0,"link, paid, amazon, store, free, newegg, gear, credit, gaming, twitter, keyboard, sponsors, floatplane, prime, twitch, music, referrals, affiliates, itunes, linus"
66,Anushka Sen,5.0,10.0,10.0,8.0,1.0,2.0,7.0,3.0,3.0,2.0,3.0,12.0,5.0,2.0,3.0,3.0,3.0,5.0,6.0,3.0,3.0,"dress, products, guys, salon, sleeve, jacket, links, home, jumpsuit, collections, dance, shoot, page, hair, exclusive, colors, crop, black, shoulder, unique"
67,Rashmis VLog Life,15.0,5.0,6.0,6.0,2.0,4.0,4.0,4.0,5.0,1.0,3.0,6.0,9.0,2.0,2.0,3.0,3.0,6.0,3.0,3.0,7.0,"playlist, list, makeup, easy, vlog, look, life, work, everyone, travel, make, natural, healthy, free, previous, research, link, wear, much, hairstyle"
