user_id,url,Food,Fashion,Make-up,Beauty,Lifestyle,Luxury,Travel,Photography,Fitness,Sports,Gaming,Entertainment,Gadgets & Tech,Finance,Education,Animal/Pet,Health,Self Improvement,Art,Parenting,Books,genuinity_score,top keywords
642,https://www.instagram.com/janvi.manchanda/,3.0,4.0,7.0,15.0,3.0,4.0,6.0,2.0,8.0,4.0,1.0,4.0,4.0,2.0,3.0,4.0,4.0,9.0,3.0,6.0,3.0,81,"hair,skin,love,fashionista,get,body,make,blogger,also,oil,day,wash,go,one,products,amazing,photography,product,skincare,beauty"
646,https://www.instagram.com/mr__shakeel/,1.0,15.0,5.0,13.0,15.0,0.0,6.0,3.0,1.0,3.0,1.0,5.0,8.0,2.0,3.0,4.0,1.0,8.0,3.0,1.0,4.0,16,"dil,hairstyles,creation,style,tag,crete,travel,pride,beard,likers,mubarak,pic,liked,liker,last,log,hai,bhi,wala,sirf"
650,https://www.instagram.com/nattysingh/,2.0,3.0,5.0,5.0,3.0,4.0,12.0,5.0,5.0,3.0,3.0,4.0,6.0,2.0,3.0,6.0,4.0,10.0,6.0,6.0,4.0,74,"india,people,portrait,infinity,photographers,ig,one,shots,gujarat,naga,world,goa,photography,undiscovered,humanity,sadhus,also,street,travel,life"
652,https://www.instagram.com/flexcia_dsouza/,5.0,3.0,4.0,3.0,4.0,5.0,13.0,5.0,7.0,5.0,2.0,4.0,5.0,2.0,3.0,5.0,3.0,9.0,4.0,6.0,4.0,77,"goa,india,beach,travel,beautiful,food,karnataka,thailand,weekend,time,place,one,last,trip,back,nepal,coffee,october,day,photos"
655,https://www.instagram.com/achhevichar/,3.0,3.0,3.0,3.0,2.0,3.0,6.0,5.0,3.0,3.0,4.0,6.0,16.0,2.0,5.0,2.0,3.0,17.0,3.0,3.0,7.0,51,"india,hindi,mumbai,delhi,indian,jaipur,love,surat,quotes,ahmedabad,motivation,bollywood,pune,business,chennai,kolkata,guru,patna,shayari,ig"
657,https://www.instagram.com/anshika_nanda/,2.0,20.0,7.0,6.0,7.0,3.0,7.0,4.0,5.0,4.0,1.0,4.0,4.0,1.0,2.0,3.0,2.0,7.0,4.0,5.0,4.0,58,"fashion,style,lookbook,love,portraits,makeup,outfit,look,delhi,indian,diwali,summers,trends,one,summer,zara,trending,jewelry,smile,travel"
663,https://www.instagram.com/indiandresses.co/,1.0,14.0,10.0,9.0,4.0,4.0,9.0,2.0,2.0,1.0,2.0,7.0,5.0,1.0,1.0,1.0,1.0,3.0,13.0,3.0,6.0,42,"love,online,www,co,shop,partywear,lehenga,kurti,traditional,dress,beautiful,sarees,shopping,embroidery,designer,gown,indian,saree,beauty,designerwear"
668,https://www.instagram.com/silverpalace_jewels/,1.0,12.0,8.0,10.0,15.0,7.0,5.0,1.0,1.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,0.0,3.0,13.0,3.0,3.0,26,"silver,fashion,jewels,mumbai,india,antique,tribal,style,handmade,boho,bohemian,vintage,necklace,handcrafted,exclusive,earrings,beauty,earings,beautiful,jewelry"
669,https://www.instagram.com/bohobazaarfleamarket/,4.0,8.0,5.0,3.0,5.0,5.0,8.0,2.0,4.0,4.0,2.0,6.0,6.0,8.0,3.0,2.0,3.0,6.0,6.0,6.0,6.0,79,"delhi,fleamarket,boho,epic,us,promenade,hub,market,flea,jan,entry,everything,bazaar,home,write,things,contact,inquiries,best,decor"
672,https://www.instagram.com/_pratishtha_sharma/,2.0,13.0,6.0,6.0,10.0,3.0,13.0,3.0,5.0,3.0,1.0,3.0,4.0,1.0,2.0,3.0,2.0,7.0,3.0,4.0,5.0,58,"portrait,fashion,vision,love,skin,tbt,style,portraits,ig,happy,lookbook,lifestyle,life,photography,look,india,influencers,nature,indian,blogger"
674,https://www.instagram.com/nstreetfashion/,2.0,20.0,6.0,7.0,5.0,3.0,6.0,2.0,6.0,4.0,1.0,5.0,4.0,1.0,2.0,3.0,2.0,7.0,4.0,5.0,4.0,63,"love,chennai,fashion,saree,happy,tamil,sexy,sari,one,summer,fashionista,outfit,look,fun,traditional,vr,hair,styling,new,time"
676,https://www.instagram.com/jagronjapneet/,2.0,15.0,5.0,5.0,7.0,2.0,5.0,1.0,18.0,3.0,1.0,3.0,4.0,1.0,3.0,3.0,3.0,9.0,3.0,4.0,3.0,56,"fashion,love,style,outfit,fashionista,lifestyle,clothing,stylist,chandigarh,fitness,trendy,inspiration,motivation,dedication,travel,ripped,shredded,aesthetics,training,transformation"
678,https://www.instagram.com/gaurikarathii/,2.0,7.0,7.0,5.0,6.0,3.0,7.0,2.0,7.0,5.0,1.0,4.0,4.0,2.0,3.0,4.0,3.0,12.0,4.0,7.0,4.0,80,"guys,fashion,blogger,love,also,inspiration,one,know,day,look,fashionista,let,styling,time,happy,wearing,little,always,aesthetics,get"
681,https://www.instagram.com/vogue.invein/,2.0,9.0,6.0,9.0,7.0,4.0,6.0,1.0,7.0,4.0,1.0,4.0,8.0,2.0,3.0,3.0,3.0,9.0,3.0,6.0,4.0,84,"check,also,get,love,one,look,time,skin,go,day,amazing,well,guys,products,great,really,absolutely,new,happy,video"
682,https://www.instagram.com/abhimanika/,1.0,6.0,4.0,4.0,4.0,2.0,5.0,2.0,18.0,9.0,1.0,4.0,4.0,1.0,4.0,3.0,5.0,11.0,3.0,7.0,3.0,78,"fit,fitness,moms,gym,ig,love,get,repost,squats,life,day,strength,squat,one,stronger,university,advice,know,motivate,fashion"
698,https://www.instagram.com/thestylebuzz/,1.0,19.0,8.0,7.0,9.0,4.0,5.0,2.0,4.0,3.0,1.0,3.0,5.0,3.0,4.0,2.0,1.0,4.0,5.0,3.0,6.0,59,"order,earrings,sale,accessories,fashion,jewelry,mumbai,soon,delhi,offer,stylish,earring,tsb,dm,offers,grab,blogger,style,pune,boho"
699,https://www.instagram.com/bridalstylediary/,1.0,21.0,4.0,7.0,4.0,2.0,2.0,7.0,4.0,4.0,2.0,6.0,2.0,1.0,1.0,2.0,3.0,9.0,6.0,7.0,5.0,53,"get,bride,bridal,us,chance,page,featured,pics,along,dm,credits,want,beautiful,jewelry,gold,stylish,fashion,smile,traditional,wedding"
701,https://www.instagram.com/atotalmisfit/,3.0,2.0,5.0,4.0,4.0,3.0,7.0,2.0,10.0,6.0,1.0,4.0,4.0,2.0,4.0,5.0,5.0,14.0,4.0,8.0,5.0,97,"life,time,get,way,day,things,self,take,look,one,always,make,love,good,year,new,start,go,work,right"
702,https://www.instagram.com/priya_priyambada/,2.0,4.0,5.0,4.0,6.0,3.0,8.0,2.0,7.0,5.0,1.0,10.0,5.0,2.0,3.0,4.0,4.0,11.0,4.0,6.0,4.0,70,"lifestyle,travel,nature,fashion,good,life,love,amazing,one,guys,happy,always,also,time,bohemian,get,day,entrepreneur,check,morning"
703,https://www.instagram.com/akansha.sinha/,2.0,18.0,4.0,4.0,12.0,2.0,11.0,2.0,5.0,3.0,1.0,4.0,5.0,1.0,3.0,3.0,4.0,7.0,3.0,4.0,4.0,57,"mushi,sassy,pune,coordinates,fashionista,style,fashion,modeling,get,vogue,love,model,one,mumbai,courtesy,photoshoot,guys,happy,lucknow,hair"
704,https://www.instagram.com/aashiadani/,2.0,8.0,8.0,14.0,5.0,3.0,6.0,2.0,7.0,4.0,1.0,4.0,4.0,2.0,3.0,3.0,3.0,8.0,4.0,5.0,4.0,91,"skin,get,make,hair,products,beauty,look,one,love,face,also,know,free,range,india,super,day,top,favorite,giveaway"
707,https://www.instagram.com/sensekimaaki/,1.0,1.0,3.0,1.0,3.0,1.0,6.0,10.0,3.0,3.0,2.0,5.0,14.0,1.0,2.0,4.0,5.0,14.0,3.0,7.0,12.0,35,"mumbai,ig,feelings,uncensored,diaries,heartbroken,prose,clicks,poems,sad,sadness,delhi,worry,words,poetry,true,love,wordsmith,writers,quotes"
710,https://www.instagram.com/_thestylevibes/,3.0,10.0,6.0,9.0,7.0,4.0,6.0,2.0,6.0,4.0,2.0,3.0,6.0,2.0,3.0,3.0,3.0,8.0,4.0,5.0,4.0,80,"jaipur,amazing,skin,get,code,love,life,blogger,new,beauty,fashion,use,happy,best,top,collection,one,products,day,makeup"
712,https://www.instagram.com/aperfectfusion/,10.0,6.0,4.0,4.0,11.0,3.0,6.0,2.0,7.0,4.0,1.0,4.0,4.0,2.0,3.0,3.0,4.0,9.0,3.0,6.0,3.0,68,"mumbai,beautiful,happiness,love,get,new,one,time,life,make,day,last,also,food,back,go,win,much,wedding,good"
714,https://www.instagram.com/polle4envy/,2.0,6.0,7.0,7.0,8.0,3.0,6.0,2.0,7.0,4.0,1.0,4.0,5.0,2.0,3.0,3.0,4.0,9.0,4.0,6.0,4.0,80,"poser,skin,also,fashionista,look,hair,fashion,products,make,love,one,face,time,day,india,model,guys,blogger,much,saree"
715,https://www.instagram.com/psbypiyushsharma/,1.0,5.0,4.0,4.0,5.0,2.0,9.0,1.0,15.0,4.0,1.0,9.0,5.0,1.0,2.0,3.0,4.0,13.0,2.0,6.0,2.0,53,"love,fitness,mumbai,blogger,share,actor,happiness,life,menswear,delhi,fashion,focus,fashionable,motivation,beautiful,black,ig,zara,health,fashionista"
718,https://www.instagram.com/thefashionchauvinist/,3.0,8.0,6.0,5.0,6.0,4.0,6.0,2.0,7.0,5.0,1.0,4.0,4.0,2.0,3.0,3.0,3.0,12.0,7.0,7.0,4.0,74,"fashion,lifestyle,love,life,time,one,happiness,traditional,inspiration,ethnic,happy,beauty,blogger,grateful,outfit,go,festive,lookbook,know,indian"
719,https://www.instagram.com/mumbai_konkan_ganesh_utsav/,2.0,2.0,6.0,1.0,2.0,1.0,4.0,8.0,3.0,0.0,2.0,9.0,22.0,0.0,5.0,3.0,3.0,12.0,5.0,2.0,8.0,89,"mumbai,ganesh,utsav,ig,hashtag,maharashtra,use,must,festival,photography,india,love,np,diaries,visarjan,uncensored,marathi,mobile,canon,undiscovered"
721,https://www.instagram.com/lost.and.hungry/,11.0,2.0,5.0,3.0,3.0,3.0,7.0,5.0,9.0,5.0,1.0,4.0,4.0,2.0,3.0,3.0,4.0,10.0,4.0,7.0,4.0,98,"food,get,shot,love,want,know,one,make,chocolate,new,photos,photography,cup,year,coffee,back,would,going,need,n1"
728,https://www.instagram.com/unclejacksindia/,14.0,3.0,5.0,4.0,3.0,4.0,8.0,1.0,9.0,4.0,2.0,5.0,6.0,2.0,3.0,3.0,3.0,8.0,4.0,6.0,4.0,65,"uncle,jack,food,foodie,delicious,delhi,fries,today,come,chandigarh,india,love,new,get,nearest,us,mumbai,enjoy,time,day"
729,https://www.instagram.com/itssakshishrivastav/,9.0,13.0,7.0,6.0,7.0,4.0,5.0,1.0,6.0,3.0,1.0,3.0,4.0,1.0,2.0,3.0,3.0,7.0,4.0,5.0,3.0,61,"blogger,fashion,quarantine,black,blog,new,white,blue,diwali,skin,summer,coffee,throwback,us,red,food,get,makeup,day,happy"
730,https://www.instagram.com/yourstrulysaltandpepper/,24.0,2.0,4.0,4.0,2.0,3.0,6.0,2.0,8.0,4.0,1.0,3.0,4.0,1.0,2.0,3.0,3.0,10.0,4.0,6.0,3.0,81,"repost,foodie,food,get,happiness,coffee,amazing,love,chocolate,always,make,delicious,pizza,try,happy,cheese,something,right,need,one"
734,https://www.instagram.com/tie_it_uppp/,0.0,15.0,5.0,4.0,1.0,2.0,11.0,3.0,4.0,1.0,6.0,1.0,9.0,4.0,1.0,3.0,5.0,7.0,3.0,8.0,7.0,48,"us,details,dm,india,slings,bag,duffle,inches,wallets,size,tote,travel,many,color,left,sling,colors,bookings,stock,office"
